"Lat","Lon","source","grid_id","X","Y"
28.725958,116.062126,"gbif",135115,12919976.7667048,3340812.6513353
22.823421,115.24591,"gbif",15651,12829116.0172074,2610678.31624712
23.175478,120.09528,"gbif",22820,13368945.4162756,2653253.57248818
23.099773,120.14968,"gbif",21186,13375001.1965748,2644088.96182078
23.61153,120.228226,"gbif",31415,13383744.8972986,2706142.29144722
32.248177,119.04495,"gbif",209686,13252023.2155107,3795931.98383151
22.024921,113.1345,"gbif",15,12594074.9311516,2514517.56143828
23.28022,120.22222,"gbif",24871,13383076.3124369,2665941.86629701
23.23063,120.104576,"gbif",24047,13369980.242262,2659933.36477704
30.319757,113.86877,"gbif",168556,12675813.4936564,3544718.19791259
22.470804,114.042786,"gbif",8645,12695184.8661663,2568145.55281288
23.360817,120.20928,"gbif",26506,13381635.838226,2675712.06380592
27.589981,120.61004,"gbif",112005,13426248.2373564,3197377.4346429
23.186592,120.13813,"gbif",23231,13373715.4564561,2654599.43456527
27.54183,120.64153,"gbif",110779,13429753.6881214,3191330.87926075
32.20151,119.024178,"gbif",208867,13249710.887048,3789791.10901163
32.194475,118.983202,"gbif",208456,13245149.4595932,3788865.65206922
22.456877,113.54629,"gbif",8213,12639915.1842654,2566467.90801665
23.515888,120.12088,"gbif",29774,13371795.1952399,2694526.93781619
24.711357,121.827255,"gbif",53572,13561747.9913423,2840332.76341975
23.081861,113.45822,"gbif",20888,12630111.2767112,2641921.34727904
24.043911,120.387665,"gbif",40011,13401493.5655912,2758759.76948639
23.856846,120.30544,"gbif",36326,13392340.3204607,2735973.84836981
22.5948,113.63314,"gbif",11080,12649583.2820408,2583089.54823505
24.496424,118.39725,"gbif",48920,13179921.5813239,2814017.27101239
23.519451,120.13009,"gbif",29775,13372820.4477501,2694959.49896243
23.889727,120.29563,"gbif",37144,13391248.276256,2739976.60989072
23.575005,120.19764,"gbif",30596,13380340.0793532,2701705.47219088
23.066864,120.10857,"gbif",20776,13370424.8523083,2640106.71257626
31.585062,117.53742,"gbif",195304,13084205.7435551,3708965.96335474
22.134344,113.03696,"gbif",2056,12583216.8280196,2527662.49561446
23.142622,120.138145,"gbif",22004,13373717.1262485,2649275.49223512
29.400074,113.02539,"gbif",148886,12581928.8615112,3426665.70573612
31.63504,117.37196,"gbif",196524,13065786.8206085,3715498.72188259
29.844116,116.52945,"gbif",158449,12971999.0364202,3483528.10494881
22.932343,120.208916,"gbif",17917,13381595.3179314,2623838.71588276
30.719957,121.36042,"gbif",177069,13509780.1568578,3596433.38470237
23.182957,120.31209,"gbif",22830,13393080.5950745,2654159.23793208
22.416876,113.644394,"gbif",7400,12650836.0715902,2561650.32900222
30.23798,119.761581,"gbif",166773,13331798.2135174,3534176.77875038
29.12272,115.96015,"gbif",143291,12908624.8503116,3391274.83257592
29.175446,115.978165,"gbif",144519,12910630.2709383,3397995.38714576
29.082317,115.89626,"gbif",142470,12901512.6480448,3386127.32220229
33.671814,120.429085,"gbif",240832,13406104.4188999,3984819.33409221
22.469213,114.00747,"gbif",8643,12691253.5070294,2567953.89260685
31.966215,114.35186,"gbif",203342,12729590.8264637,3758876.63746262
33.71164,120.46753,"gbif",241652,13410384.0967234,3990147.73292422
28.748085,116.317215,"gbif",135536,12948373.1442917,3343621.80524829
30.811575,114.51013,"gbif",178809,12747209.3622716,3608302.67160236
24.299904,120.54652,"gbif",45335,13419177.2233012,2789995.53390575
24.793566,120.9175,"gbif",55168,13460474.5279957,2850410.08014887
29.899393,115.99878,"gbif",159653,12912925.122241,3490624.2958213
30.762741,114.153275,"gbif",177975,12707484.4453845,3601974.72752406
23.599852,120.17781,"gbif",31413,13378132.6138508,2704723.58966437
33.469715,120.62235,"gbif",236341,13427618.580288,3957818.03175407
22.920053,120.17549,"gbif",17916,13377874.3526321,2622353.25923319
25.233181,121.632744,"gbif",64197,13540095.1258686,2904412.94688843
31.59602,121.83876,"gbif",195905,13563028.7220839,3710398.01284312
33.60822,120.4719,"gbif",239198,13410870.5628982,3976316.08035287
28.983852,116.04746,"gbif",140432,12918344.1550528,3373590.9168516
22.490513,113.562325,"gbif",9032,12641700.1923002,2570519.98494263
24.350105,120.56993,"gbif",46154,13421783.2125806,2796128.33161418
29.766483,115.71374,"gbif",156777,12881194.6145853,3473568.58773602
32.883118,120.894325,"gbif",223675,13457894.6987965,3879800.08935459
24.824947,120.9196,"gbif",55577,13460708.2989263,2854258.57598082
29.125313,116.277707,"gbif",143305,12943975.1338495,3391605.26059488
28.41278,116.14847,"gps",128575,12929588.5368178,3301116.28852027
28.41966,116.11389,"gps",128983,12925739.1088262,3301987.08556434
28.42069,116.1073,"gps",128982,12925005.5133819,3302117.45685163
28.69588,116.36831,"gps",134720,12954061.0136738,3336995.02402955
28.71271,116.34614,"gps",134719,12951593.0605629,3339131.02372529
28.70065,116.3062,"gps",134717,12947146.9601006,3337600.37943158
28.71474,116.31595,"gps",135127,12948232.3251359,3339388.6868408
28.71139,116.31621,"gps",134718,12948261.2682035,3338963.4819194
30.66984,113.69534,"gps",175910,12656507.3543681,3589945.40473069
30.67758,113.67706,"gps",175909,12654472.4340764,3590947.17945657
30.39081,114.72467,"gps",169821,12771091.8458263,3553884.39119353
30.39135,114.71492,"gps",169820,12770006.4807911,3553954.07940578
30.3948,114.72083,"gps",170230,12770664.3789817,3554399.31874336
30.70763,114.73592,"gps",176774,12772344.1900978,3594837.25984357
30.68841,114.72934,"gps",176365,12771611.7078484,3592349.02226848
30.36362,113.92654,"gps",169376,12682244.4206395,3550375.95842709
30.39747,113.92114,"gps",170194,12681643.2953892,3554743.90606885
30.35774,113.94666,"gps",169377,12684484.1687943,3549617.36717696
30.37934,113.87429,"gps",169783,12676427.9772456,3552404.25291329
30.31479,114.22385,"gps",168163,12715340.8184473,3544077.6787881
30.29414,114.22077,"gps",167753,12714997.9544156,3541415.10750623
30.31951,114.22406,"gps",168572,12715364.1955403,3544686.34527831
30.30154,114.22072,"gps",168162,12714992.3884411,3542369.18479567
29.24325,112.8427,"gps",145606,12561591.9037381,3406642.88968092
29.36141,112.95715,"gps",148065,12574332.4194594,3421726.34169394
30.55137,116.97147,"gps",173602,13021204.4777407,3574622.03531003
30.51107,116.84798,"gps",172778,13007457.6338226,3569413.74283411
30.5133,116.89471,"gps",172780,13012659.5936274,3569701.88718095
29.69773,116.12984,"gps",155568,12927514.6547043,3464754.72611533
29.30722,116.1353,"gps",147389,12928122.4591241,3414806.67031779
29.33291,116.12038,"gps",147797,12926461.5723214,3418086.63918106
29.3557,116.14162,"gps",148207,12928825.9983059,3420997.04254861
29.30128,116.13761,"gps",146980,12928379.6071478,3414048.3987856
30.79161,113.92387,"gps",178374,12681947.1975991,3605715.20449672
30.76186,113.94876,"gps",177966,12684717.9397249,3601860.59642134
30.8191,113.97092,"gps",178785,12687184.7796409,3609278.05228825
29.72053,113.57918,"gps",155864,12643576.4823176,3467676.92628572
29.65566,113.56635,"gps",154636,12642148.2532507,3459364.49426005
30.29705,113.84492,"gps",167737,12673158.523801,3541790.28336428
30.13638,113.77876,"gps",164462,12665793.6262901,3521092.29412722
30.33276,113.83316,"gps",168554,12671849.4065892,3546395.15263701
23.86548,117.59964,"gps",36615,13091132.0422723,2737024.8081026
23.86217,117.59821,"gps",36206,13090972.8554005,2736621.89540782
23.89673,117.56993,"gps",37023,13087824.7402008,2740829.24998035
23.89904,117.60171,"gps",37024,13091362.4736182,2741110.51080086
23.8806,117.58597,"gps",36614,13089610.3048331,2738865.43454482
23.89094,117.56822,"gps",37022,13087634.3838716,2740124.29363762
29.05755,113.02861,"gps",141933,12582287.3102715,3382972.90148108
29.01503,112.9832,"gps",141113,12577232.2921946,3377559.15625346
29.28464,112.88505,"gps",146835,12566306.2841732,3411924.45210509
29.27936,112.87711,"gps",146426,12565422.4074163,3411250.57979304
29.05734,113.04978,"gps",141934,12584643.9438916,3382946.1583106
29.08045,113.05642,"gps",142344,12585383.1053105,3385889.50745447
29.21611,112.81487,"gps",145196,12558493.8823094,3403180.85517794
28.96367,113.00571,"gps",139887,12579738.0939323,3371022.85208878
28.95814,112.97816,"gps",139886,12576671.241961,3370319.27294869
29.25178,112.84716,"gps",146015,12562088.3886671,3407731.18371063
22.48,113.99295,"gps",8642,12689637.1480231,2569253.39435222
22.48061,113.9923,"gps",9051,12689564.7903541,2569326.88361559
23.39683,116.55581,"gps",27161,12974933.4181975,2680079.57989923
23.42948,116.53557,"gps",27570,12972680.3117039,2684040.27112246
23.41712,116.53221,"gps",27569,12972306.2782148,2682540.79494679
29.20054,116.52905,"gps",144952,12971954.5086239,3401195.1278115
28.27892,121.12576,"gps",125934,13483657.9251483,3284184.94946326
28.29178,121.13459,"gps",126343,13484640.876252,3285810.62629975
28.28111,121.15479,"gps",126344,13486889.529966,3284461.78102602
28.27509,121.15134,"gps",125935,13486505.4777228,3283700.82392839
29.02008,116.19946,"gps",141257,12935264.7176534,3378202.01730782
29.04754,116.18015,"gps",141665,12933115.1382861,3381698.20425106
29.0541,116.17862,"gps",142074,12932944.8194652,3382533.55629636
29.05088,116.16983,"gps",142073,12931966.3211412,3382123.51405017
29.05095,116.10249,"gps",142070,12924470.0666311,3382132.42787593
28.85926,116.28519,"gps",137988,12944808.1375991,3357745.15261908
28.89107,116.2757,"gps",138397,12943751.7156314,3361788.97872297
28.58841,116.43564,"gps",132269,12961556.1549889,3323363.42537397
29.03866,116.12372,"gps",141662,12926833.3794207,3380567.50743819
29.01339,116.187,"gps",141256,12933877.6767981,3377350.39229531
29.04002,116.17333,"gps",141664,12932355.9393589,3380740.67091023
29.11413,115.9459,"gps",143290,12907038.5475678,3390180.26166124
29.14841,115.96366,"gps",144109,12909015.5817243,3394548.89715645
