"Lat","Lon","source","X","Y"
47.2472,87.40281,"zggn",9729636.30310124,5982517.16089335
31.50342,121.96552,"zggn",13577139.5807368,3698301.8488548
47.87588,86.86883,"zggn",9670193.92140745,6086230.47371542
47.88581,87.00056,"zggn",9684858.03792964,6087878.66866269
47.71319,86.88079,"zggn",9671525.30251734,6059271.81811104
48.31601,87.23552,"zggn",9711013.66548643,6159589.58522294
47.69329,86.86297,"zggn",9669541.5891914,6055980.05823696
47.24605,87.56551,"zggn",9747747.98425331,5982328.57940112
47.8546,88.14936,"zggn",9812741.86895296,6082699.45372156
22.5049,113.96052,"zggn",12686027.0569367,2572253.46523993
47.24143,87.41009,"zggn",9730446.70899421,5981571.01501312
47.53997,87.89638,"zggn",9784580.26417207,6030660.63251399
39.86577,116.2227,"zggn",12937851.7826194,4846455.47126546
39.38247,118.28829,"zggn",13167792.2096071,4776606.1381843
44.49605,84.93304,"zggn",9454702.76432474,5542530.73443588
31.33816,121.85482,"zggn",13564816.513106,3676743.96737718
39.84657,116.23295,"zggn",12938992.8074,4843671.23548861
39.18616,118.17038,"zggn",13154666.5284476,4748372.58385439
37.74586,107.52334,"zggn",11969443.457192,4543586.30122024
30.33746,114.40673,"zggn",12735698.9269235,3547001.35117655
44.42879,86.17967,"zggn",9593476.98113235,5532039.98887277
39.22894,117.87659,"zggn",13121961.9752475,4754518.52081237
39.25172,108.12848,"zggn",12036807.3338507,4757792.7105459
22.5273,114.00248,"zggn",12690698.0227704,2574952.7857602
39.05065,118.26453,"zggn",13165147.2585058,4728929.34950454
22.52758,114.00724,"zggn",12691227.9035465,2574986.53003567
32.60505,120.98609,"zggn",13468109.9318692,3842997.53007293
39.0897,118.29064,"zggn",13168053.8104104,4734528.48467586
32.76584,120.96967,"zggn",13466282.0658303,3864264.22561872
32.60505,120.98609,"zggn",13468109.9318692,3842997.53007293
39.0897,118.29064,"zggn",13168053.8104104,4734528.48467586
40.90447,121.26927,"zggn",13499633.385272,4998261.20558993
22.52489,113.9695,"zggn",12687026.705964,2574662.34678839
22.47003,113.55666,"zggn",12641069.5673849,2568052.3124377
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
40.41016,115.85559,"zggn",12896985.2843543,4925725.8590203
23.28202,116.72875,"zggn",12994185.0109353,2666160.00277901
24.83372,118.69964,"zggn",13213583.4821449,2855334.65148096
44.77692,84.61832,"zggn",9419668.29418228,5586470.20889524
22.5049,113.96052,"zggn",12686027.0569367,2572253.46523993
23.28202,116.72875,"zggn",12994185.0109353,2666160.00277901
34.40293,108.91438,"zggn",12124293.3216651,4083034.85553717
40.88441,121.58318,"zggn",13534577.6866269,4995307.08627744
22.49798,114.04568,"zggn",12695507.0247726,2571419.65642663
30.27422,119.93732,"zggn",13351361.3895099,3538847.19221736
23.28202,116.72875,"zggn",12994185.0109353,2666160.00277901
42.45655,120.3553,"zggn",13397890.7102717,5229615.66484131
42.45655,120.3553,"zggn",13397890.7102717,5229615.66484131
42.45655,120.3553,"zggn",13397890.7102717,5229615.66484131
22.52482,113.96969,"zggn",12687047.8566672,2574653.91087738
22.4784,114.18361,"zggn",12710861.3221377,2569060.63716694
