Lon,Lat,时间,source,
118.39015,39.05991,2021/5/23 10:00,GPS,
118.39024,39.06122,2021/5/23 8:01,GPS,
118.38956,39.05956,2021/5/23 6:00,GPS,
118.38898,39.03122,2021/5/23 4:00,GPS,
118.38874,39.03109,2021/5/23 2:02,GPS,
118.38953,39.05936,2021/5/22 20:01,GPS,
118.39066,39.05962,2021/5/22 18:01,GPS,
118.39006,39.05922,2021/5/22 14:01,GPS,
118.38818,39.05996,2021/5/22 12:00,GPS,
118.39008,39.05999,2021/5/22 10:00,GPS,
118.39004,39.05942,2021/5/22 8:00,GPS,
118.38876,39.03096,2021/5/22 4:01,GPS,
118.38883,39.03161,2021/5/22 2:00,GPS,
118.38879,39.0312,2021/5/22 0:01,GPS,
118.38882,39.03133,2021/5/21 22:02,GPS,
118.38915,39.05938,2021/5/21 8:00,GPS,
118.40568,39.03491,2021/5/21 4:01,GPS,
118.38952,39.05939,2021/5/20 6:02,GPS,
118.40434,39.0343,2021/5/19 22:02,GPS,
118.38929,39.05951,2021/5/19 8:01,GPS,
118.38886,39.05951,2021/5/19 6:02,GPS,
118.40453,39.03427,2021/5/19 4:02,GPS,
118.4015,39.03278,2021/5/19 2:00,GPS,
118.40127,39.03263,2021/5/19 0:00,GPS,
118.38057,39.05525,2021/5/18 20:01,GPS,
118.38926,39.05953,2021/5/18 18:02,GPS,
118.38957,39.05916,2021/5/18 16:03,GPS,
118.38898,39.05923,2021/5/18 14:01,GPS,
118.3896,39.05943,2021/5/18 12:02,GPS,
118.38943,39.05945,2021/5/18 8:01,GPS,
118.40559,39.03486,2021/5/18 4:00,GPS,
118.40561,39.03493,2021/5/18 2:01,GPS,
118.4054,39.03471,2021/5/18 0:01,GPS,
118.38952,39.05939,2021/5/17 20:03,GPS,
118.38953,39.0595,2021/5/17 12:00,GPS,
118.38969,39.05951,2021/5/17 10:01,GPS,
118.38943,39.05946,2021/5/17 8:01,GPS,
118.40442,39.03428,2021/5/17 2:01,GPS,
118.4054,39.03476,2021/5/17 0:02,GPS,
118.40546,39.03469,2021/5/16 22:02,GPS,
118.38943,39.05942,2021/5/16 18:01,GPS,
118.38954,39.05957,2021/5/16 16:01,GPS,
118.38943,39.0594,2021/5/16 14:01,GPS,
118.39016,39.06009,2021/5/16 10:01,GPS,
118.38956,39.05942,2021/5/16 6:00,GPS,
118.4056,39.03488,2021/5/16 4:00,GPS,
118.40544,39.03471,2021/5/16 2:02,GPS,
118.3893,39.05946,2021/5/15 20:01,GPS,
118.38953,39.05943,2021/5/15 18:02,GPS,
118.38926,39.05942,2021/5/15 16:01,GPS,
118.39047,39.05965,2021/5/15 10:01,GPS,
118.40461,39.03431,2021/5/15 8:03,GPS,
118.38933,39.0595,2021/5/15 6:01,GPS,
118.40475,39.03444,2021/5/15 4:01,GPS,
118.40456,39.0346,2021/5/15 2:01,GPS,
118.40446,39.03415,2021/5/15 0:01,GPS,
118.36897,39.04829,2021/5/14 22:01,GPS,
118.3899,39.05965,2021/5/14 14:00,GPS,
118.39006,39.05949,2021/5/14 10:01,GPS,
118.40471,39.03442,2021/5/14 4:00,GPS,
118.36897,39.04823,2021/5/14 2:01,GPS,
118.3693,39.04811,2021/5/14 0:00,GPS,
118.36905,39.04837,2021/5/13 22:01,GPS,
118.39009,39.05994,2021/5/13 20:01,GPS,
118.38965,39.05967,2021/5/13 18:01,GPS,
118.38963,39.06007,2021/5/13 16:00,GPS,
118.38959,39.05916,2021/5/13 14:01,GPS,
118.38847,39.06067,2021/5/13 12:02,GPS,
118.39085,39.05952,2021/5/13 10:00,GPS,
118.38962,39.06014,2021/5/13 8:00,GPS,
118.40487,39.03441,2021/5/13 6:01,GPS,
118.4049,39.03493,2021/5/13 4:00,GPS,
118.40476,39.03458,2021/5/13 2:00,GPS,
118.40294,39.03383,2021/5/13 0:00,GPS,
118.3713,39.05122,2021/5/12 22:00,GPS,
118.38972,39.05988,2021/5/12 20:00,GPS,
118.38994,39.05953,2021/5/12 18:00,GPS,
118.38918,39.06037,2021/5/12 16:00,GPS,
118.39035,39.05936,2021/5/12 14:01,GPS,
118.38911,39.0594,2021/5/12 12:00,GPS,
118.38983,39.05988,2021/5/12 10:00,GPS,
118.38947,39.0594,2021/5/12 8:01,GPS,
118.40462,39.03442,2021/5/12 6:02,GPS,
118.40462,39.03434,2021/5/12 4:00,GPS,
118.40462,39.03443,2021/5/12 2:03,GPS,
118.38953,39.05945,2021/5/11 22:02,GPS,
118.37256,39.06268,2021/5/11 18:01,GPS,
118.38966,39.05936,2021/5/11 12:03,GPS,
118.38948,39.05943,2021/5/11 10:01,GPS,
118.38966,39.05946,2021/5/11 8:03,GPS,
118.40453,39.03443,2021/5/11 6:02,GPS,
118.40473,39.03444,2021/5/11 4:01,GPS,
118.40448,39.03447,2021/5/11 2:01,GPS,
118.38602,39.05585,2021/5/10 16:02,GPS,
118.38957,39.05938,2021/5/10 14:03,GPS,
118.3894,39.05949,2021/5/10 12:02,GPS,
118.38949,39.05942,2021/5/10 10:02,GPS,
118.38968,39.05953,2021/5/10 8:01,GPS,
118.40462,39.03442,2021/5/10 4:02,GPS,
118.40447,39.03423,2021/5/10 0:02,GPS,
118.38958,39.05931,2021/5/9 20:01,GPS,
118.38932,39.05966,2021/5/9 18:01,GPS,
118.38956,39.05954,2021/5/9 16:02,GPS,
118.38964,39.05938,2021/5/9 8:01,GPS,
118.38932,39.0589,2021/5/8 18:02,GPS,
118.38969,39.05935,2021/5/8 16:00,GPS,
118.39003,39.05946,2021/5/8 14:01,GPS,
118.38944,39.05935,2021/5/8 12:01,GPS,
118.39001,39.06005,2021/5/8 10:01,GPS,
118.3894,39.05922,2021/5/8 8:01,GPS,
118.38938,39.05939,2021/5/8 6:02,GPS,
118.40439,39.03423,2021/5/8 2:02,GPS,
118.40449,39.03424,2021/5/8 0:02,GPS,
118.38947,39.05944,2021/5/7 22:01,GPS,
118.38953,39.0595,2021/5/7 20:01,GPS,
118.38975,39.05964,2021/5/7 18:00,GPS,
118.38999,39.05971,2021/5/7 16:01,GPS,
118.38948,39.0599,2021/5/7 14:02,GPS,
118.38941,39.05952,2021/5/7 12:02,GPS,
118.38961,39.05944,2021/5/7 6:02,GPS,
118.40151,39.03276,2021/5/7 4:02,GPS,
118.40143,39.03276,2021/5/7 2:03,GPS,
118.40105,39.03246,2021/5/7 0:02,GPS,
118.38949,39.05941,2021/5/6 22:02,GPS,
118.38935,39.05918,2021/5/6 20:01,GPS,
118.38946,39.05947,2021/5/6 18:03,GPS,
118.38985,39.05974,2021/5/6 16:01,GPS,
118.38965,39.05945,2021/5/6 14:03,GPS,
118.38962,39.05916,2021/5/6 12:02,GPS,
118.38921,39.05905,2021/5/6 8:01,GPS,
118.3892,39.05965,2021/5/6 6:01,GPS,
118.40157,39.03275,2021/5/6 4:01,GPS,
118.40151,39.03267,2021/5/6 2:00,GPS,
118.40116,39.03255,2021/5/6 0:00,GPS,
118.38952,39.05943,2021/5/5 22:01,GPS,
118.38956,39.05943,2021/5/5 20:00,GPS,
118.38931,39.05943,2021/5/5 18:01,GPS,
118.38966,39.05961,2021/5/5 16:01,GPS,
118.39018,39.05953,2021/5/5 14:02,GPS,
118.38934,39.05943,2021/5/5 12:01,GPS,
118.38945,39.05942,2021/5/5 10:01,GPS,
118.38939,39.05938,2021/5/5 8:01,GPS,
118.40132,39.03265,2021/5/5 4:02,GPS,
118.40149,39.03257,2021/5/5 0:02,GPS,
118.3894,39.05944,2021/5/4 22:00,GPS,
118.38951,39.05942,2021/5/4 20:03,GPS,
118.38955,39.05964,2021/5/4 18:01,GPS,
118.38953,39.05951,2021/5/4 16:01,GPS,
118.3896,39.05938,2021/5/4 14:01,GPS,
118.38953,39.05947,2021/5/4 12:01,GPS,
118.38953,39.05936,2021/5/4 10:02,GPS,
118.38956,39.05939,2021/5/4 8:00,GPS,
118.40157,39.03262,2021/5/4 6:00,GPS,
118.3895,39.05946,2021/5/4 4:00,GPS,
118.40147,39.03267,2021/5/4 2:00,GPS,
118.38956,39.05946,2021/5/4 0:00,GPS,
118.38936,39.06024,2021/5/3 22:00,GPS,
118.37141,39.06069,2021/5/3 20:03,GPS,
118.38923,39.05983,2021/5/3 18:01,GPS,
118.38961,39.05942,2021/5/3 16:00,GPS,
118.38837,39.05865,2021/5/3 14:01,GPS,
118.38956,39.05943,2021/5/3 12:01,GPS,
118.38959,39.05947,2021/5/3 10:01,GPS,
118.38965,39.05903,2021/5/3 8:00,GPS,
118.38967,39.05941,2021/5/3 6:00,GPS,
118.4037,39.03377,2021/5/3 4:01,GPS,
118.40195,39.03309,2021/5/3 2:00,GPS,
118.40122,39.03242,2021/5/3 0:00,GPS,
118.38958,39.06007,2021/5/2 22:00,GPS,
118.38947,39.05943,2021/5/2 20:01,GPS,
118.38995,39.05924,2021/5/2 18:03,GPS,
118.39013,39.05965,2021/5/2 14:00,GPS,
118.38983,39.05994,2021/5/2 12:00,GPS,
118.38991,39.05993,2021/5/2 8:00,GPS,
118.3894,39.05993,2021/5/2 6:00,GPS,
118.40154,39.03201,2021/5/2 2:00,GPS,
118.40176,39.03286,2021/5/2 0:00,GPS,
118.38966,39.05966,2021/5/1 22:00,GPS,
118.38947,39.05943,2021/5/1 20:00,GPS,
118.39013,39.05927,2021/5/1 18:01,GPS,
118.38961,39.0589,2021/5/1 14:02,GPS,
118.38952,39.0595,2021/5/1 12:01,GPS,
118.3896,39.05916,2021/5/1 10:01,GPS,
118.3898,39.0598,2021/5/1 8:00,GPS,
118.38956,39.05954,2021/5/1 6:00,GPS,
118.40356,39.03386,2021/5/1 4:01,GPS,
118.40434,39.03417,2021/5/1 2:01,GPS,
118.40432,39.0342,2021/5/1 0:01,GPS,
118.38954,39.05941,2021/4/30 22:00,GPS,
118.38945,39.05937,2021/4/30 14:02,GPS,
118.44291,39.06377,2021/4/30 8:00,GPS,
118.4042,39.03511,2021/4/30 6:02,GPS,
118.40495,39.03451,2021/4/30 4:01,GPS,
118.44307,39.06407,2021/4/30 2:00,GPS,
118.40437,39.03413,2021/4/30 0:01,GPS,
118.44364,39.06365,2021/4/29 22:02,GPS,
118.44308,39.06391,2021/4/29 20:00,GPS,
