Lon,Lat,时间,source,...5,X,Y
118.37346,39.04857,2021/6/5 16:02,GPS,NA,13177273.2906379,4728631.19818876
118.37357,39.04853,2021/6/5 14:00,GPS,NA,13177285.5357819,4728625.46459565
118.37357,39.04843,2021/6/5 12:02,GPS,NA,13177285.5357819,4728611.13062711
118.37364,39.04851,2021/6/5 8:02,GPS,NA,13177293.3281463,4728622.59780032
118.36945,39.05017,2021/6/5 6:00,GPS,NA,13176826.8994799,4728860.54457541
118.36855,39.05074,2021/6/5 4:00,GPS,NA,13176726.7119381,4728942.25048081
118.3687,39.05082,2021/6/5 2:00,GPS,NA,13176743.4098618,4728953.71802907
118.36832,39.05058,2021/6/5 0:01,GPS,NA,13176701.1084553,4728919.31542325
118.36839,39.05101,2021/6/4 22:00,GPS,NA,13176708.9008196,4728980.95350826
118.37356,39.04861,2021/6/4 20:02,GPS,NA,13177284.422587,4728636.9317851
118.3736,39.04871,2021/6/4 10:02,GPS,NA,13177288.8753666,4728651.26579018
118.36947,39.04982,2021/6/4 6:00,GPS,NA,13176829.1258697,4728810.37460937
118.36868,39.05087,2021/6/4 4:00,GPS,NA,13176741.1834719,4728960.88525333
118.36863,39.05087,2021/6/4 2:00,GPS,NA,13176735.6174974,4728960.88525333
118.36874,39.05092,2021/6/4 0:01,GPS,NA,13176747.8626414,4728968.05248267
118.37109,39.05111,2021/6/3 22:00,GPS,NA,13177009.4634448,4728995.28800042
118.37366,39.04853,2021/6/3 20:01,GPS,NA,13177295.5545361,4728625.46459565
118.37337,39.04823,2021/6/3 10:01,GPS,NA,13177263.2718838,4728582.4627509
118.37357,39.04852,2021/6/3 8:01,GPS,NA,13177285.5357819,4728624.03119789
118.3753,39.04985,2021/6/3 6:01,GPS,NA,13177478.118501,4728814.67488244
118.37521,39.0504,2021/6/3 4:02,GPS,NA,13177468.0997468,4728893.5135456
118.37555,39.05041,2021/6/3 2:00,GPS,NA,13177505.9483737,4728894.94698152
118.37563,39.05017,2021/6/3 0:01,GPS,NA,13177514.853933,4728860.54457541
118.37363,39.04852,2021/6/2 18:01,GPS,NA,13177292.2149514,4728624.03119789
118.37351,39.04854,2021/6/2 14:00,GPS,NA,13177278.8566125,4728626.89799363
118.37351,39.04853,2021/6/2 12:01,GPS,NA,13177278.8566125,4728625.46459565
118.37353,39.04864,2021/6/2 10:02,GPS,NA,13177281.0830023,4728641.23198449
118.3736,39.04852,2021/6/2 8:01,GPS,NA,13177288.8753666,4728624.03119789
118.3756,39.05003,2021/6/2 6:01,GPS,NA,13177511.5143482,4728840.47655916
118.37523,39.05061,2021/6/2 4:00,GPS,NA,13177470.3261366,4728923.61574258
118.3756,39.05056,2021/6/2 2:01,GPS,NA,13177511.5143482,4728916.44854471
118.37562,39.05093,2021/6/2 0:01,GPS,NA,13177513.7407381,4728969.48592914
118.37557,39.05035,2021/6/1 22:01,GPS,NA,13177508.1747635,4728886.34636903
118.37365,39.04868,2021/6/1 12:02,GPS,NA,13177294.4413412,4728646.96558652
118.37409,39.04852,2021/6/1 10:02,GPS,NA,13177343.4219171,4728624.03119789
118.37395,39.04874,2021/6/1 8:00,GPS,NA,13177327.8371884,4728655.56599566
118.37524,39.05004,2021/6/1 6:00,GPS,NA,13177471.4393315,4728841.90998757
118.37542,39.05042,2021/6/1 0:02,GPS,NA,13177491.4768399,4728896.38041764
118.37592,39.05031,2021/5/31 22:01,GPS,NA,13177547.1365853,4728880.61263143
118.37533,39.05318,2021/5/31 6:01,GPS,NA,13177481.4580857,4729292.01654678
118.3753,39.05314,2021/5/31 4:00,GPS,NA,13177478.118501,4729286.28257941
118.37514,39.05336,2021/5/31 2:00,GPS,NA,13177460.3073825,4729317.8194401
118.37536,39.05308,2021/5/31 0:01,GPS,NA,13177484.7976704,4729277.68163446
118.3756,39.05297,2021/5/30 22:03,GPS,NA,13177511.5143482,4729261.91325436
118.37672,39.05346,2021/5/30 14:02,GPS,NA,13177636.1921779,4729332.15440926
118.3772,39.0532,2021/5/30 10:02,GPS,NA,13177689.6255335,4729294.88353168
118.37781,39.05549,2021/5/30 2:00,GPS,NA,13177757.5304229,4729623.15867176
118.37766,39.05542,2021/5/30 0:00,GPS,NA,13177740.8324993,4729613.12390275
118.37756,39.05549,2021/5/29 22:02,GPS,NA,13177729.7005502,4729623.15867176
118.3782,39.05439,2021/5/29 20:02,GPS,NA,13177800.9450243,4729465.47059462
118.38962,39.05951,2021/5/29 10:01,GPS,NA,13179072.2136092,4730199.45781037
118.39645,39.05496,2021/5/29 8:01,GPS,NA,13179832.5257313,4729547.1813825
118.3965,39.05492,2021/5/29 6:03,GPS,NA,13179838.0917058,4729541.4472706
118.38986,39.05898,2021/5/29 4:01,GPS,NA,13179098.9302869,4730123.47619543
118.38934,39.05963,2021/5/29 2:02,GPS,NA,13179041.0441517,4730216.66127408
118.38969,39.05932,2021/5/29 0:01,GPS,NA,13179080.0059735,4730172.21905264
118.38956,39.05986,2021/5/28 20:02,GPS,NA,13179065.5344397,4730249.63466124
118.3893,39.05944,2021/5/28 18:01,GPS,NA,13179036.5913721,4730189.42247005
118.39635,39.05484,2021/5/28 16:02,GPS,NA,13179821.3937822,4729529.97905656
118.38953,39.05929,2021/5/28 14:02,GPS,NA,13179062.194855,4730167.91820286
118.38955,39.05944,2021/5/28 6:01,GPS,NA,13179064.4212448,4730189.42247005
