Lat,Lon,source
22.89339,120.19522,gbif
23.100985,120.07489,gbif
24.463182,118.30095,gbif
24.476171,118.30999,gbif
23.872429,120.29374,gbif
23.500423,120.13579,gbif
23.058699,120.11039,gbif
24.476171,118.30999,gbif
23.15824,120.10704,gbif
28.559357,121.60605,gbif
23.044733,120.09812,gbif
23.334074,120.16891,gbif
24.81403,121.80388,gbif
23.258184,120.11774,gbif
24.46801,118.30366,gbif
23.433565,120.17125,gbif
23.51803,120.17713,gbif
23.53264,120.1638,gbif
22.49418,114.03655,gbif
23.32689,120.170685,gbif
23.25222,120.14989,gbif
23.036575,120.10587,gbif
23.20552,120.10296,gbif
23.20552,120.10296,gbif
23.34249,120.151955,gbif
22.439035,120.4894,gbif
23.053158,120.12687,gbif
23.446762,120.20345,gbif
23.279442,120.17434,gbif
22.884901,120.19819,gbif
23.02861,120.16128,gbif
22.49418,114.03655,gbif
23.569275,120.14618,gbif
22.884901,120.19819,gbif
23.028088,120.11391,gbif
22.814085,120.21111,gbif
23.340738,120.16125,gbif
23.127281,120.116394,gbif
23.364443,120.17398,gbif
23.24894,120.17946,gbif
23.358416,120.16768,gbif
22.53049,114.090675,gbif
23.517332,120.18021,gbif
22.429996,120.50201,gbif
23.495245,120.12165,gbif
23.20552,120.10296,gbif
23.32689,120.170685,gbif
22.49418,114.03655,gbif
23.066084,120.14966,gbif
23.340738,120.16125,gbif
23.334074,120.16891,gbif
23.047037,120.11664,gbif
22.440025,120.4952,gbif
22.225672,113.556786,gbif
23.364443,120.17398,gbif
23.334074,120.16891,gbif
24.4304,118.24637,gbif
24.47366,118.305534,gbif
23.32382,120.12027,gbif
23.32025,120.13504,gbif
22.49418,114.03655,gbif
24.465052,118.305145,gbif
23.493502,120.12208,gbif
23.495245,120.12165,gbif
23.497292,120.15372,gbif
24.420864,118.22887,gbif
23.007727,120.15832,gbif
22.44032,120.49483,gbif
23.23432,120.1218,gbif
23.497292,120.15372,gbif
22.884901,120.19819,gbif
23.334074,120.16891,gbif
24.83647,121.811356,gbif
32.8804,120.93544,gbif
23.452702,120.179955,gbif
24.83647,121.811356,gbif
22.959015,120.18379,gbif
22.508831,114.113335,gbif
23.42289,120.16419,gbif
23.500423,120.13579,gbif
23.334074,120.16891,gbif
23.25222,120.14989,gbif
22.884901,120.19819,gbif
22.884901,120.19819,gbif
23.319883,120.15067,gbif
23.511877,120.14711,gbif
23.34249,120.151955,gbif
23.364443,120.17398,gbif
